E01A;ED06C;pobrezai
3500000;No obtuvo;No pobre
5000000;No obtuvo;No pobre
2200000;No obtuvo;No pobre
3000000;No obtuvo;No pobre
2300000;No obtuvo;No pobre
4000000;No obtuvo;No pobre
0;Superior Universitario;No pobre
2300000;Superior Universitario;No pobre
0;EEB (3er ciclo);No pobre
3200000;No obtuvo;No pobre
2800000;No obtuvo;No pobre
4500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
3700000;No obtuvo;No pobre
1500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
6687000;Superior Universitario;No pobre
4000000;No obtuvo;No pobre
400000;No obtuvo;Pobre no extremo
0;No obtuvo;No pobre
0;No obtuvo;No pobre
6940000;Superior Universitario;No pobre
2700000;No obtuvo;No pobre
3200000;No obtuvo;No pobre
800000;No obtuvo;Pobre no extremo
0;Técnica Superior;No pobre
Militar/Policial (Post no universitario)00000;Técnica Superior;No pobre
2500000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
2000000;No obtuvo;No pobre
1000000;No obtuvo;No pobre
2000000;Superior Universitario;No pobre
8000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
4500000;Técnica Superior;No pobre
0;Superior Universitario;No pobre
1000000;Superior Universitario;No pobre
6500000;Superior Universitario;No pobre
7500000;Superior Universitario;No pobre
1600000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
2500000;Especialización (Post universitario);No pobre
3000000;No obtuvo;No pobre
5000000;No obtuvo;No pobre
6000000;Superior Universitario;No pobre
10000000;Especialización (Post universitario);No pobre
0;Especialización (Post universitario);No pobre
0;No obtuvo;No pobre
2500000;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;Superior Universitario;No pobre
2250000;Educación Inicial;No pobre
5000000;Superior Universitario;No pobre
2200000;Educación Inicial;No pobre
3000000;Superior Universitario;No pobre
3000000;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
4000000;Especialización (Post universitario);No pobre
5000000;Superior Universitario;No pobre
5000000;No obtuvo;No pobre
7000000;Superior Universitario;No pobre
0;Especialización (Post universitario);No pobre
4000000;Superior Universitario;No pobre
4000000;Superior Universitario;No pobre
No Técnico Superior (Post no universitario)000000;No obtuvo;No pobre
4000000;No obtuvo;No pobre
4200000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
6000000;Técnica Superior;No pobre
5000000;Superior Universitario;No pobre
5500000;No obtuvo;No pobre
2000000;No obtuvo;No pobre
0;No obtuvo;No pobre
1500000;Superior Universitario;No pobre
0;No obtuvo;No pobre
8000000;Superior Universitario;No pobre
10000000;Superior Universitario;No pobre
5000000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
3200000;Especialización (Post universitario);No pobre
0;No obtuvo;No pobre
2500000;No obtuvo;No pobre
2500000;No obtuvo;No pobre
3500000;No obtuvo;No pobre
7000000;Superior Universitario;No pobre
5700000;Superior Universitario;No pobre
0;No obtuvo;No pobre
2500000;Superior Universitario;No pobre
4500000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
3500000;No obtuvo;No pobre
0;Superior Universitario;No pobre
0;Militar/Policial;No pobre
2500000;Superior Universitario;No pobre
2500000;No obtuvo;No pobre
5000000;No obtuvo;No pobre
3500000;Superior Universitario;No pobre
4000000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
10000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
1000000;No obtuvo;No pobre
0;No obtuvo;No pobre
5000000;Superior Universitario;No pobre
2910000;No obtuvo;No pobre
4750000;No obtuvo;No pobre
3220000;Superior Universitario;No pobre
0;Superior Universitario;No pobre
4200000;Superior Universitario;No pobre
8778681;Superior Universitario;No pobre
0;Superior Universitario;No pobre
0;No obtuvo;No pobre
2600000;Superior Universitario;No pobre
2600000;No obtuvo;No pobre
5187000;Superior Universitario;No pobre
3528000;Superior Universitario;No pobre
4000000;No obtuvo;No pobre
5600000;No obtuvo;No pobre
8000000;No obtuvo;No pobre
3000000;Superior Universitario;No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
0;Superior Universitario;No pobre
2500000;Superior Universitario;No pobre
2500000;Especialización (Post universitario);No pobre
3500000;No obtuvo;No pobre
2500000;No obtuvo;No pobre
0;EEB (1º y 2º ciclo);Pobre extremo
10000000;Especialización (Post universitario);No pobre
8000000;Especialización (Post universitario);No pobre
0;No obtuvo;No pobre
0;No obtuvo;No pobre
