B01REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B07A;B12;B16T;B26;E01A;E01B;E01C;E01H;ED01;ED02;ED03;ED0504;ED06C;ED08;ED10;e01aimde;e01hde;pobrezai;pobnopoi
9;12;12;0;6;12;12;12;3;2;2500000;3;2500000;0;0;0;2;1;1;604; ;19;1;2523677,979;0;3;0
8;12;12;0;0;12;12;12;2;2;2700000;3;2700000;0;0;0;2;1;1;903; ;19;2;2725572,218;0;3;0
4;10;10;0;10;10;10;10;5;2;2500000;3;3700000;0;0;0;2;1;1;903; ;19;2;3735043,41;0;3;0
7;10;10;0;10;10;10;10;2;2;2400000;4;2400000;0;0;0;2;1;1;903; ;19;1;2422730,86;0;3;0
7;8;8;0;0;8;8;8;13;1;3700000;1;4300000;0;0;0;2;1;1;706; ;19;2;4340726,125;0;3;0
3;12;12;0;0;12;12;12;8;2;2300000;3;2300000;0;0;0;2;1;1;2403;14;19;1;2321783,741;0;3;0
5;12;12;0;12;12;12;12;0;2;2500000;3;2500000;0;0;0;2;1;1;903; ;19;2;2523677,979;0;3;0
5;12;12;0;12;12;12;12;20;2;2300000;3;2300000;0;0;0;3;1;1;304; ;19;2;2321783,741;0;3;0
9;8;8;0;8;8;8;8;3;2;2500000;4;2500000;0;0;0;1;1;1;305; ;19;2;2523677,979;0;3;0
9;0;9;9;9;9;9;9;4;2;2272000;3;2272000;0;0;0;3;1;1;903; ;19;1;2293518,548;0;3;0
9;8;8;8;8;8;8;0;7;2;2272000;3;2832000;0;0;0;3;1;1;409; ;19;14;2858822,415;0;3;0
2;0;0;0;0;0;0;0;5;2;2300000;3;2300000;0;0;0;2;1;1;2404;1;19;2;2321783,741;0;3;0
5;0;8;8;8;8;0;0;0;6;1000000;4;1600000;0;0;0;2;1;1;306; ;19;2;1576579,353;0;3;0
9;0;9;9;9;9;5;5;5;2;3200000;1;3200000;0;0;0;2;1;1;2001;14;19;2;3153158,706;0;3;0
4;0;12;0;12;0;0;0;24;1;4500000;1;4500000;0;0;0;2;1;1;2404;1;19;5;4434129,43;0;3;0
5;0;6;6;6;6;0;0;12;1;3700000;1;3700000;0;0;0;3;1;1;2402;14;19;2;3645839,753;0;3;0
9;0;6;6;6;6;0;0;5;1;3300000;3;3300000;500000;0;0;3;1;1;706; ;19;2;3251694,915;0;3;0
8;10;10;0;5;10;10;10;1;2;2300000;1;2300000;0;0;0;2;1;1;606; ;19;2;2300000;0;3;0
9;6;6;6;6;6;6;6;5;1;4000000;3;4000000;0;0;0;3;1;1;2403;14;19;14;4000000;0;3;0
7;9;9;0;9;9;9;9;2;2;2500000;1;2500000;0;0;0;1;1;1;901; ;19;2;2500000;0;3;0
9;9;9;0;0;9;9;9;8;6;1500000;4;2000000;0;0;0;1;1;1;304; ;19;2;2000000;0;3;0
9;8;8;0;4;8;8;8;6;2;1900000;3;1900000;0;0;0;3;1;1;903; ;19;2;1900000;0;2;1
9;10;0;5;10;10;10;10;0;2;2000000;4;2000000;0;0;0;3;1;1;903; ;19;2;1993764,614;0;3;0
3;9;0;4;9;9;9;9;5;1;2700000;1;2700000;0;0;0;2;1;1;2402;14;19;15;2691582,229;0;3;0
5;8;0;0;8;8;8;8;0;2;1500000;4;3500000;0;0;0;3;1;1;903; ;19;2;3489088,075;0;3;0
9;10;0;0;10;10;10;10;0;2;2500000;3;2500000;0;0;0;2;1;1;604; ;19;1;2492205,768;0;3;0
2;6;0;0;6;6;6;6;15;1;3200000;1;3200000;0;0;0;3;1;1;2405;14;19;1;3190023,383;0;3;0
9;8;0;0;8;8;8;8;6;6;500000;4;500000;0;0;0;3;1;1;903; ;19;1;498441,154;0;3;0
5;11;0;6;11;11;11;11;1;2;800000;4;800000;0;0;0;3;1;1;2402;14;19;1;797505,846;0;2;1
9;5;0;5;5;5;5;5;4;6;1200000;4;1200000;0;0;0;3;1;1;2002;7;19;2;1196258,769;0;3;0
5;6;6;6;6;0;6;6;0;2;2500000;3;2500000;0;0;0;2;1;1;2404;1;19;2;2492205,768;0;3;0
9;12;0;0;12;12;12;12;2;2;2500000;4;3300000;0;0;0;3;1;1;409; ;19;2;3289711,613;0;3;0
9;8;0;0;8;8;8;8;0;2;1300000;3;1300000;0;0;0;3;1;1;408; ;19;2;1295946,999;0;3;0
3;8;0;0;8;8;8;8;9;1;2500000;3;2500000;0;0;0;3;1;1;606; ;19;2;2492205,768;0;3;0
5;6;6;0;0;6;6;6;0;2;2000000;3;2000000;0;0;0;2;1;1;2402;14;19;3;1984484,096;0;3;0
3;2;2;2;2;2;2;2;5;2;1000000;4;1000000;1000000;0;0;2;1;1;2402;14;19;3;992242,048;0;3;0
3;8;8;8;8;8;8;8;10;2;2500000;3;2500000;1000000;0;0;2;1;1;903; ;19;3;2480605,12;0;3;0
2;8;8;0;0;8;8;8;10;2;8000000;3;8000000;2000000;0;0;3;1;1;2406;1;19;5;7937936,385;0;3;0
5;8;0;12;12;12;8;8;4;2;3000000;1;3000000;0;0;0;3;1;1;903; ;19;2;2990646,921;0;3;0
4;8;8;0;0;8;8;8;1;2;1600000;4;2000000;0;0;0;3;1;1;1003; ;19;2;1993764,614;0;3;0
10;10;10;0;0;10;10;10;5;1;3000000;1;4500000;0;0;0;1;1;1;2002;7;19;2;4485970,382;0;3;0
3;8;8;0;0;8;8;8;10;1;6000000;1;6500000;0;0;0;3;1;1;2405;1;19;1;6479734,996;0;3;0
1;8;8;0;0;8;8;8;4;1;7000000;1;7500000;0;0;0;3;1;1;2405;1;19;1;7476617,303;0;3;0
3;4;0;5;9;4;4;4;12;2;1600000;4;1600000;0;0;0;3;1;1;2404;1;19;2;1595011,691;0;3;0
3;10;0;0;10;10;10;10;4;2;5000000;1;5000000;0;0;0;3;1;1;2405;14;19;18;5003912,363;0;3;0
1;8;0;0;8;8;8;8;4;2;6000000;1;6000000;900000;0;0;3;1;1;2404;1;19;2;6004694,836;0;3;0
2;8;0;0;8;8;8;8;13;1;10000000;1;10000000;0;0;0;3;1;1;2405;10;19;5;10007824,73;0;3;0
3;8;0;0;8;8;8;8;4;2;2500000;4;2500000;0;0;0;3;1;1;2402;14;19;1;2463405,239;0;3;0
2;4,3;0;0;4,3;4,3;4,3;4,3;20;2;2250000;3;2250000;600000;0;0;3;1;1;2103;2;19;2;2217064,715;0;3;0
3;8;0;0;8;8;8;8;3;2;3000000;3;3000000;0;0;0;3;1;1;2405;1;19;2;2956086,287;0;3;0
2;8;0;5;8;8;8;8;3;2;4200000;3;4200000;0;0;0;3;1;1;2403;14;19;14;4186905,69;0;3;0
3;9;0;0;9;9;9;9;9;2;5500000;1;5500000;5000000;0;0;3;1;1;2402;14;19;14;5482852,689;0;3;0
1;8;0;0;8;8;8;8;15;2;10000000;1;10000000;0;0;0;3;1;1;2404;1;19;2;9968823,071;0;3;0
2;6;0;0;0;6;6;6;5;2;3200000;3;3200000;0;0;0;2;1;1;2404;10;19;2;3190023,383;0;3;0
3;10;10;10;10;0;10;10;10;2;2500000;1;2500000;0;0;0;3;1;1;2401;14;19;2;2492205,768;0;3;0
4;8;0;0;8;8;8;8;5;2;2500000;1;2500000;0;0;0;3;1;1;2405;14;19;2;2492205,768;0;3;0
5;10;10;10;10;10;10;0;8;2;2500000;1;2500000;0;0;0;3;1;1;903; ;19;14;2492205,768;0;3;0
7;8;0;10;10;8;8;8;20;2;2500000;1;2500000;0;0;0;3;1;1;606; ;19;2;2492205,768;0;3;0
